pl_name,hostname,st_mass,pl_bmassj,pl_massj,pl_orbsmax,pl_orbeccen,sy_snum,sy_pnum,pl_orbper,planet_mass_jup,planet_solar_mass,star_solar_mass,ecc,sma
TYC 1422-614-1 b,TYC 1422-614-1,1.15,2.5,,0.69,0.06,1,2,198.4,2.5,0.0023875,1.15,0.06,0.69
PSR B1257+12 c,PSR B1257+12,1.4,0.01352925,0.0135292451939716,0.36,0.0186,1,3,66.5419,0.01352925,1.292043375e-05,1.4,0.0186,0.36
PSR B1257+12 d,PSR B1257+12,1.4,0.01227071,0.0122707107573231,0.46,0.0264,1,3,98.2114,0.01227071,1.171852805e-05,1.4,0.0264,0.46
TYC 1422-614-1 c,TYC 1422-614-1,1.15,10.0,,1.37,0.048,1,2,559.3,10.0,0.00955,1.15,0.048,1.37
TYC 4282-00605-1 b,TYC 4282-00605-1,0.97,10.78,,0.422,0.28,1,1,101.54,10.78,0.0102949,0.97,0.28,0.422
YZ Cet b,YZ Cet,0.142,0.00220245,,0.01634,0.06,1,3,2.02087,0.00220245,2.10333975e-06,0.142,0.06,0.01634
OGLE-2018-BLG-0740L b,OGLE-2018-BLG-0740L,1.0,4.8,4.8,5.0,0.0,1,1,5480.0,4.8,0.0045839999999999995,1.0,0.0,5.0
HD 33142 b,HD 33142,1.52,1.26,,1.074,0.049,1,3,330.0,1.26,0.0012033,1.52,0.049,1.074
Kepler-127 c,Kepler-127,1.248,0.0238,,0.2,0.03,1,3,29.393195,0.0238,2.2729000000000002e-05,1.248,0.03,0.2
Kepler-126 b,Kepler-126,1.108,0.0129436,,0.099,0.07,1,3,10.495711,0.0129436,1.2361138e-05,1.108,0.07,0.099
Kepler-126 c,Kepler-126,1.108,0.00402415,,0.162,0.19,1,3,21.869741,0.00402415,3.84306325e-06,1.108,0.19,0.162
Kepler-1441 b,Kepler-1441,1.0,0.00714,,0.2346,0.0,1,1,39.4419839,0.00714,6.8187e-06,1.0,0.0,0.2346
Kepler-130 c,Kepler-130,1.0,0.0275,,0.178,0.0,2,3,27.50868,0.0275,2.62625e-05,1.0,0.0,0.178
Kepler-1312 c,Kepler-1312,0.983,0.00337,,0.02103,0.0,1,2,1.116119981,0.00337,3.2183500000000003e-06,0.983,0.0,0.02103
Kepler-1315 b,Kepler-1315,0.8,0.0078,,0.01617,0.0,1,2,0.84338011,0.0078,7.448999999999999e-06,0.8,0.0,0.01617
TOI-181 b,TOI-181,0.822,0.1452,0.1452,0.0539,0.1543,1,1,4.532,0.1452,0.000138666,0.822,0.1543,0.0539
HD 106315 c,HD 106315,1.091,0.04782431,0.0478243085926439,0.1536,0.22,1,2,21.05704,0.04782431,4.567221605e-05,1.091,0.22,0.1536
TOI-3629 b,TOI-3629,0.63,0.26,0.26,0.043,0.05,1,1,3.936551,0.26,0.0002483,0.63,0.05,0.043
Kepler-1315 c,Kepler-1315,0.809,0.0128,,0.0635,0.0,1,2,6.566060066,0.0128,1.2224e-05,0.809,0.0,0.0635
Kepler-132 d,Kepler-132,0.929,0.00951,,0.136,0.0,2,4,18.010199,0.00951,9.082049999999999e-06,0.929,0.0,0.136
eps Tau b,eps Tau,2.57,7.19,,1.878,0.076,1,1,585.82,7.19,0.0068664500000000005,2.57,0.076,1.878
HD 128356 b,HD 128356,0.65,0.89,,0.87,0.57,1,1,298.2,0.89,0.00084995,0.65,0.57,0.87
HD 154391 b,HD 154391,2.07,9.1,9.1,7.46,0.2,1,1,5163.0,9.1,0.0086905,2.07,0.2,7.46
HD 215152 c,HD 215152,0.77,0.0054117,,0.067393,0.0,1,4,7.28243,0.0054117,5.1681735e-06,0.77,0.0,0.067393
GJ 3082 b,GJ 3082,0.47,0.02579996,,0.079,0.22,1,1,11.949,0.02579996,2.4638961800000002e-05,0.47,0.22,0.079
