pl_name,hostname,st_mass,pl_bmassj,pl_massj,pl_orbsmax,pl_orbeccen,sy_snum,sy_pnum,pl_orbper,planet_mass_jup,planet_solar_mass,star_solar_mass,ecc,sma
HAT-P-3 b,HAT-P-3,1.06,0.65,0.65,0.03866,0.0,2,1,2.8997,0.65,0.00062075,1.06,0.0,0.03866
Kepler-1065 b,Kepler-1065,0.94,0.0422,,0.0455,0.0,1,2,3.609308907,0.0422,4.0301e-05,0.94,0.0,0.0455
HD 132406 b,HD 132406,0.973,5.94,5.94,1.98,0.25,1,1,908.0,5.94,0.0056727,0.973,0.25,1.98
TOI-1260 c,TOI-1260,0.679,0.04153184,0.0415318445717157,0.0657,0.0,1,3,7.493134,0.04153184,3.96629072e-05,0.679,0.0,0.0657
HD 149143 b,HD 149143,1.2,1.33,,0.053,0.0167,1,1,4.07182,1.33,0.00127015,1.2,0.0167,0.053
HD 99492 b,HD 99492,0.85,0.08023197,,0.12,0.034,2,2,17.0503,0.08023197,7.662153135000001e-05,0.85,0.034,0.12
nu Oph c,nu Oph,2.61,24.662,24.662,5.829,0.179,1,2,3180.6,24.662,0.02355221,2.61,0.179,5.829
75 Cet b,75 Cet,1.92,2.479,,1.912,0.093,2,2,696.62,2.479,0.002367445,1.92,0.093,1.912
gam Lib b,gam Lib,1.78,1.126,,1.319,0.16,1,2,414.88,1.126,0.00107533,1.78,0.16,1.319
HD 113337 b,HD 113337,1.4,3.259,,1.022,0.28,3,2,317.58639,3.259,0.003112345,1.4,0.28,1.022
HD 28109 c,HD 28109,1.26,0.02499147,0.0249914728358438,0.308,0.1203,1,3,56.00819,0.02499147,2.386685385e-05,1.26,0.1203,0.308
HR 8799 d,HR 8799,1.5,10.0,10.0,24.0,0.6,1,4,37000.0,10.0,0.00955,1.5,0.6,24.0
TOI-6002 b,TOI-6002,0.2101,0.0106,,0.05722,0.15,1,1,10.904821,0.0106,1.0123e-05,0.2101,0.15,0.05722
HIP 12961 b,HIP 12961,0.69,0.36,,0.25,0.17,1,1,57.435,0.36,0.0003438,0.69,0.17,0.25
HD 11755 b,HD 11755,0.72,5.63,,1.09,0.19,1,1,433.70001,5.63,0.00537665,0.72,0.19,1.09
HD 29985 b,HD 29985,0.75,5.473,5.473,13.39,0.261,1,1,20608.14049,5.473,0.005226715,0.75,0.261,13.39
HD 115954 b,HD 115954,1.18,8.45,8.45,5.0,0.487,1,1,3700.0,8.45,0.008069749999999999,1.18,0.487,5.0
HIP 97233 b,HIP 97233,1.81,19.187,19.187,2.491,0.63,1,1,1062.26506,19.187,0.018323585,1.81,0.63,2.491
HD 95872 b,HD 95872,0.7,3.74,,5.15,0.06,1,1,4375.0,3.74,0.0035717,0.7,0.06,5.15
Teegarden's Star c,Teegarden's Star,0.097,0.00330367,,0.0455,0.04,1,3,11.416,0.00330367,3.15500485e-06,0.097,0.04,0.0455
TOI-1470 b,TOI-1470,0.471,0.0230313,0.0230312956261333,0.0285,0.3,1,2,2.527093,0.0230313,2.1994891500000002e-05,0.471,0.3,0.0285
HR 810 b,HR 810,1.34,6.2,6.2,0.92,0.14,1,1,302.79999,6.2,0.005921,1.34,0.14,0.92
HD 97658 b,HD 97658,0.85,0.02611472,0.026114720450397,0.0805,0.05,1,1,9.4897116,0.02611472,2.49395576e-05,0.85,0.05,0.0805
LTT 3780 b,LTT 3780,0.381,0.00774003,0.00774002557927429,0.01195,0.0,2,2,0.76837931,0.00774003,7.39172865e-06,0.381,0.0,0.01195
HD 86728 b,HD 86728,0.967,0.0296701,,0.1916,0.067,1,1,31.1515,0.0296701,2.8334945500000003e-05,0.967,0.067,0.1916
TOI-2180 b,TOI-2180,1.111,2.755,2.755,0.828,0.3683,1,1,260.79,2.755,0.002631025,1.111,0.3683,0.828
TOI-1899 b,TOI-1899,0.632,0.67,0.67,0.1525,0.044,1,1,29.090312,0.67,0.0006398500000000001,0.632,0.044,0.1525
Qatar-3 b,Qatar-3,1.145,4.31,4.31,0.03783,0.0,1,1,2.5079204,4.31,0.00411605,1.145,0.0,0.03783
WASP-159 b,WASP-159,1.41,0.55,0.55,0.0538,0.0,1,1,3.840401,0.55,0.00052525,1.41,0.0,0.0538
WASP-7 b,WASP-7,1.276,0.96,0.96,0.0617,0.034,1,1,4.9546416,0.96,0.0009168,1.276,0.034,0.0617
HD 219134 g,HD 219134,0.794,0.034,,0.3753,0.0,1,6,94.2,0.034,3.2470000000000006e-05,0.794,0.0,0.3753
tau Cet e,tau Cet,0.783,0.0123651,,0.538,0.18,1,4,162.87,0.0123651,1.18086705e-05,0.783,0.18,0.538
Kepler-1465 b,Kepler-1465,0.75,0.0119,,0.1939,0.0,1,1,31.8277111,0.0119,1.1364500000000001e-05,0.75,0.0,0.1939
NSVS 14256825 b,NSVS 14256825,0.419,14.15,,3.12,0.12,2,1,3225.0,14.15,0.013513250000000001,0.419,0.12,3.12
Kepler-1665 b,Kepler-1665,0.842,0.0266,,0.096,0.0,1,1,11.9548,0.0266,2.5403e-05,0.842,0.0,0.096
Kepler-1332 b,Kepler-1332,0.95,0.00771,,0.09915,0.0,1,1,11.87456832,0.00771,7.36305e-06,0.95,0.0,0.09915
Kepler-1484 b,Kepler-1484,0.94,0.016,,0.1939,0.0,1,1,30.4549136,0.016,1.528e-05,0.94,0.0,0.1939
Kepler-1486 b,Kepler-1486,1.08,0.0189,,0.2846,0.0,1,1,54.6495759,0.0189,1.80495e-05,1.08,0.0,0.2846
Kepler-1471 c,Kepler-1471,0.934,0.0132,,0.0981,0.0,1,2,11.6044881,0.0132,1.2606e-05,0.934,0.0,0.0981
Kepler-1537 b,Kepler-1537,0.81,0.00553,,0.0245,0.0,1,1,1.444453798,0.00553,5.28115e-06,0.81,0.0,0.0245
Kepler-148 b,Kepler-148,0.86,0.0123,,0.028,0.0,1,3,1.729366,0.0123,1.17465e-05,0.86,0.0,0.028
Kepler-148 c,Kepler-148,0.86,0.0398,,0.05,0.0,1,3,4.180043,0.0398,3.8009e-05,0.86,0.0,0.05
Kepler-1480 b,Kepler-1480,0.85,0.0108,,0.1525,0.0,2,1,22.12679948,0.0108,1.0314e-05,0.85,0.0,0.1525
Kepler-1481 b,Kepler-1481,0.8,0.00642,,0.059,0.0,1,1,5.94220998,0.00642,6.1311000000000005e-06,0.8,0.0,0.059
42 Dra b,42 Dra,0.98,3.88,,1.19,0.38,2,1,479.1,3.88,0.0037053999999999998,0.98,0.38,1.19
61 Vir c,61 Vir,0.942,0.057,,0.2175,0.14,1,3,38.021,0.057,5.4435e-05,0.942,0.14,0.2175
TOI-5301 b,TOI-5301,1.316,3.72,3.72,0.073,0.33,1,1,5.858858,3.72,0.0035526000000000004,1.316,0.33,0.073
TOI-669 b,TOI-669,0.9245,0.03146352,0.0314635186149361,0.048,0.0,1,1,3.945152,0.03146352,3.0047661600000003e-05,0.9245,0.0,0.048
70 Vir b,70 Vir,1.09,7.49,7.49,0.481,0.3988,1,1,116.688,7.49,0.00715295,1.09,0.3988,0.481
HIP 19976 b,HIP 19976,0.67,0.068,,0.234,0.304,2,1,50.65905,0.068,6.494000000000001e-05,0.67,0.304,0.234
K2-290 b,K2-290,1.194,0.03429506,0.0342950633986722,0.0923,0.0,3,2,9.21165,0.03429506,3.27517823e-05,1.194,0.0,0.0923
K2-138 g,K2-138,0.935,0.01359217,0.013592171915804,0.23109,0.059,1,6,41.96797,0.01359217,1.2980522350000001e-05,0.935,0.059,0.23109
K2-140 b,K2-140,0.96,0.93,0.93,0.068,0.0,1,1,6.569188,0.93,0.0008881500000000001,0.96,0.0,0.068
K2-141 c,K2-141,0.708,0.02517081,0.0251708148919489,0.0683,0.092,1,2,7.7485,0.02517081,2.403812355e-05,0.708,0.092,0.0683
K2-141 b,K2-141,0.708,0.01563737,0.0156373687516233,0.00747,0.0,1,2,0.2803244,0.01563737,1.4933688350000002e-05,0.708,0.0,0.00747
TOI-3364 b,TOI-3364,1.186,1.67,1.67,0.0675,0.0,1,1,5.8768918,1.67,0.0015948499999999999,1.186,0.0,0.0675
24 Sex b,24 Sex,1.54,1.99,,1.333,0.09,1,2,452.8,1.99,0.00190045,1.54,0.09,1.333
24 Sex c,24 Sex,1.54,0.86,,2.08,0.29,1,2,883.0,0.86,0.0008213,1.54,0.29,2.08
DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,0.075,28.5,28.5,0.36,0.345,1,1,246.36,28.5,0.0272175,0.075,0.345,0.36
HIP 63242 b,HIP 63242,1.54,9.18,,0.565,0.23,1,1,124.6,9.18,0.0087669,1.54,0.23,0.565
TOI-1723 b,TOI-1723,1.04,0.03272206,0.0327220593595336,0.113496,0.0,1,1,13.727012643,0.03272206,3.12495673e-05,1.04,0.0,0.113496
TOI-1742 b,TOI-1742,1.0861,0.03051961,0.0305196130564881,0.154,0.3,1,1,21.269084,0.03051961,2.914622755e-05,1.0861,0.3,0.154
RR Cae b,RR Cae,0.44,4.2,,5.3,0.0,2,1,4343.5,4.2,0.004011,0.44,0.0,5.3
HAT-P-44 b,HAT-P-44,0.942,0.352,0.352,0.0507,0.044,1,2,4.301219,0.352,0.00033616,0.942,0.044,0.0507
HATS-43 b,HATS-43,0.837,0.261,0.261,0.04944,0.173,1,1,4.3888497,0.261,0.00024925500000000004,0.837,0.173,0.04944
HATS-45 b,HATS-45,1.272,0.7,0.7,0.05511,0.24,1,1,4.1876244,0.7,0.0006684999999999999,1.272,0.24,0.05511
Kepler-11 e,Kepler-11,0.961,0.025,0.025,0.195,0.012,1,6,31.9996,0.025,2.3875e-05,0.961,0.012,0.195
Kepler-161 c,Kepler-161,0.853,0.01135833,0.0113583302199919,0.068,0.0,1,2,7.06424,0.01135833,1.084720515e-05,0.853,0.0,0.068
Kepler-176 c,Kepler-176,0.86,0.00418465,0.00418464797578651,0.102,0.0,1,4,12.759712,0.00418465,3.99634075e-06,0.86,0.0,0.102
Kepler-1972 c,Kepler-1972,1.12,0.0066388,0.00663880242775152,0.10493,0.043,1,2,11.3295,0.0066388,6.3400540000000005e-06,1.12,0.043,0.10493
HR 858 b,HR 858,1.204,0.01116955,0.0111695491083023,0.04888,0.0,2,3,3.585287,0.01116955,1.066692025e-05,1.204,0.0,0.04888
WASP-127 b,WASP-127,0.95,0.1647,0.1647,0.0484,0.0,2,1,4.17806203,0.1647,0.0001572885,0.95,0.0,0.0484
WASP-136 b,WASP-136,1.41,1.51,1.51,0.0661,0.0,1,1,5.215357,1.51,0.00144205,1.41,0.0,0.0661
LHS 1140 c,LHS 1140,0.1844,0.00600953,0.0060095320554528,0.027,0.05,1,2,3.77794,0.00600953,5.73910115e-06,0.1844,0.05,0.027
TOI-2285 b,TOI-2285,0.454,0.06135386,0.0613538612991255,0.1363,0.3,1,1,27.26955,0.06135386,5.8592936300000006e-05,0.454,0.3,0.1363
CoRoT-8 b,CoRoT-8,0.89,0.22,0.22,0.063,0.0,1,1,6.21229,0.22,0.0002101,0.89,0.0,0.063
K2-261 b,K2-261,1.1,0.217,0.217,0.1086,0.274,1,1,11.6334681,0.217,0.000207235,1.1,0.274,0.1086
K2-266 c,K2-266,0.686,0.00091285,,0.0679,0.042,2,4,7.814,0.00091285,8.7177175e-07,0.686,0.042,0.0679
K2-114 b,K2-114,0.832,2.01,2.01,0.0944,0.079,1,1,11.390931,2.01,0.00191955,0.832,0.079,0.0944
TOI-2420 b,TOI-2420,1.158,0.927,0.927,0.0684,0.055,1,1,5.842641,0.927,0.0008852850000000001,1.158,0.055,0.0684
TOI-2537 b,TOI-2537,0.771,1.307,1.307,0.3715,0.364,1,2,94.1022,1.307,0.001248185,0.771,0.364,0.3715
TOI-2580 b,TOI-2580,1.33,0.63,0.63,0.048,0.08,1,1,3.39775,0.63,0.00060165,1.33,0.08,0.048
WASP-116 b,WASP-116,1.25,0.64,0.64,0.065,0.0,1,1,6.6132,0.64,0.0006112,1.25,0.0,0.065
WASP-155 b,WASP-155,1.09,0.871,0.871,0.043,0.0,1,1,3.110413,0.871,0.000831805,1.09,0.0,0.043
2MASS J19383260+4603591 b,2MASS J19383260+4603591,0.48,1.9,1.9,0.92,0.33,2,3,406.0,1.9,0.0018145,0.48,0.33,0.92
HD 134606 e,HD 134606,1.046,0.00736246,,0.0527,0.2,1,5,4.3203,0.00736246,7.0311493e-06,1.046,0.2,0.0527
TOI-3807 b,TOI-3807,1.181,1.04,1.04,0.0421,0.0,1,1,2.8989727,1.04,0.0009932,1.181,0.0,0.0421
TOI-2525 b,TOI-2525,0.849,0.084,0.084,0.1511,0.17,1,2,23.2856,0.084,8.022e-05,0.849,0.17,0.1511
HATS-11 b,HATS-11,1.33,0.83,0.83,0.0507,0.34,1,1,3.619188,0.83,0.00079265,1.33,0.34,0.0507
HATS-36 b,HATS-36,1.1,3.216,3.216,0.0523,0.105,1,1,4.175186,3.216,0.00307128,1.1,0.105,0.0523
HATS-9 b,HATS-9,1.1,0.837,0.837,0.0312,0.075,1,1,1.915291,0.837,0.000799335,1.1,0.075,0.0312
HD 188641 b,HD 188641,1.07,29.365,29.365,12.027,0.034,1,1,14583.81038,29.365,0.028043574999999998,1.07,0.034,12.027
WASP-36 b,WASP-36,1.081,2.361,2.361,0.02677,0.019,2,1,1.53736596,2.361,0.002254755,1.081,0.019,0.02677
K2-3 b,K2-3,0.53,0.01607786,0.0160778580122324,0.0747,0.107,1,3,10.0546535,0.01607786,1.53543563e-05,0.53,0.107,0.0747
K2-43 b,K2-43,0.556799,0.0583,,0.03784,0.07,1,2,3.471149,0.0583,5.56765e-05,0.556799,0.07,0.03784
K2-77 b,K2-77,0.851503,1.9,1.9,0.0753,0.29,1,1,8.2000844,1.9,0.0018145,0.851503,0.29,0.0753
Kepler-42 b,Kepler-42,0.13,0.00222115,0.00222114821851025,0.0116,0.04,1,3,1.2137672,0.00222115,2.12119825e-06,0.13,0.04,0.0116
HR 8799 c,HR 8799,1.5,10.0,10.0,38.0,0.5,1,4,69000.0,10.0,0.00955,1.5,0.5,38.0
NGTS-33 b,NGTS-33,1.6,3.63,3.63,0.048,0.0,1,1,2.827972,3.63,0.00346665,1.6,0.0,0.048
HATS-15 b,HATS-15,0.871,2.17,2.17,0.02712,0.126,1,1,1.74748753,2.17,0.00207235,0.871,0.126,0.02712
GJ 3341 b,GJ 3341,0.47,0.0208,,0.089,0.31,1,1,14.207,0.0208,1.9863999999999998e-05,0.47,0.31,0.089
GJ 581 e,GJ 581,0.295,0.00780295,0.00780295261650416,0.02799,0.012,1,3,3.1481,0.00780295,7.45181725e-06,0.295,0.012,0.02799
K2-104 b,K2-104,0.51,0.0121,,0.0242,0.09,1,1,1.9741954,0.0121,1.15555e-05,0.51,0.09,0.0242
GJ 3293 d,GJ 3293,0.42,0.02391215,,0.19394,0.12,1,4,48.1345,0.02391215,2.283610325e-05,0.42,0.12,0.19394
BD-08 2823 b,BD-08 2823,0.5,0.04,,0.06,0.15,1,2,5.6,0.04,3.82e-05,0.5,0.15,0.06
BD-10 3166 b,BD-10 3166,1.47,0.59,,0.04,0.02,1,1,3.48777,0.59,0.00056345,1.47,0.02,0.04
GJ 720 A b,GJ 720 A,0.57,0.04291624,,0.119,0.12,2,1,19.466,0.04291624,4.09850092e-05,0.57,0.12,0.119
BD-13 2130 b,BD-13 2130,2.12,9.78,,1.66,0.21,1,1,714.29999,9.78,0.0093399,2.12,0.21,1.66
HD 215152 d,HD 215152,0.77,0.00881289,,0.08799,0.0,1,4,10.86499,0.00881289,8.416309950000001e-06,0.77,0.0,0.08799
HD 113337 c,HD 113337,1.4,19.821,19.821,6.805,0.164,3,2,5429.93477,19.821,0.018929055,1.4,0.164,6.805
K2-128 b,K2-128,0.711248,0.00819,,0.056,0.23,1,1,5.675819,0.00819,7.82145e-06,0.711248,0.23,0.056
K2-123 b,K2-123,0.62,0.0253,,0.1649,0.06,1,1,30.951524,0.0253,2.41615e-05,0.62,0.06,0.1649
K2-132 b,K2-132,1.08,0.49,0.49,0.0916,0.29,1,1,9.1751,0.49,0.00046795,1.08,0.29,0.0916
K2-113 b,K2-113,1.04,1.29,1.29,0.0642,0.0,1,1,5.817685,1.29,0.00123195,1.04,0.0,0.0642
HD 105618 c,HD 105618,1.01,26.491,26.491,35.731,0.126,1,2,77114.07158,26.491,0.025298905,1.01,0.126,35.731
TOI-837 b,TOI-837,1.142,0.379,0.379,0.0888,0.0,1,1,8.3249113,0.379,0.000361945,1.142,0.0,0.0888
PDS 70 b,PDS 70,0.76,3.0,3.0,20.0,0.19,1,2,43500.0,3.0,0.002865,0.76,0.19,20.0
WASP-124 b,WASP-124,1.07,0.6,0.6,0.0449,0.017,1,1,3.37265,0.6,0.0005729999999999999,1.07,0.017,0.0449
HD 164604 b,HD 164604,0.77,14.3,14.3,1.331,0.35,1,1,641.472,14.3,0.0136565,0.77,0.35,1.331
Kepler-603 c,Kepler-603,1.01,0.108,,0.53439,0.0,1,3,127.9075774,0.108,0.00010314,1.01,0.0,0.53439
Kepler-275 c,Kepler-275,1.189,0.0357,,0.132,0.0,1,3,16.088134,0.0357,3.40935e-05,1.189,0.0,0.132
Kepler-170 c,Kepler-170,1.066,0.0269,,0.131,0.0,1,2,16.665863,0.0269,2.5689500000000002e-05,1.066,0.0,0.131
Kepler-598 c,Kepler-598,0.9,0.0296,,0.36672,0.0,1,2,86.4945,0.0296,2.8268e-05,0.9,0.0,0.36672
Kepler-655 b,Kepler-655,1.15,0.0245,,0.25697,0.0,1,1,46.4063358,0.0245,2.33975e-05,1.15,0.0,0.25697
Kepler-1819 b,Kepler-1819,1.173,0.0456,,0.1337,0.0,1,1,16.48690033,0.0456,4.3548000000000004e-05,1.173,0.0,0.1337
TOI-1736 c,TOI-1736,1.0373,8.7,8.7,1.37,0.3685,1,2,571.25,8.7,0.0083085,1.0373,0.3685,1.37
WASP-3 b,WASP-3,1.62,2.43,2.43,0.0315,0.0,3,1,1.84683,2.43,0.00232065,1.62,0.0,0.0315
TOI-4153 b,TOI-4153,1.572,1.15,1.15,0.06311,0.039,1,1,4.6174141,1.15,0.0010982499999999998,1.572,0.039,0.06311
TOI-125 d,TOI-125,0.859,0.04279017,0.0427901708460498,0.137,0.168,1,3,19.98,0.04279017,4.0864612350000005e-05,0.859,0.168,0.137
HD 11506 d,HD 11506,1.22,12.8,12.8,18.2,0.29,1,3,26500.0,12.8,0.012224,1.22,0.29,18.2
HR 858 c,HR 858,1.204,0.01195614,0.0119561370736757,0.0687,0.0,2,3,5.973865,0.01195614,1.14181137e-05,1.204,0.0,0.0687
TOI-1836 b,TOI-1836,1.307,0.121,0.121,0.1597,0.0,1,2,20.380799,0.121,0.000115555,1.307,0.0,0.1597
TOI-5076 b,TOI-5076,0.789,0.0508,0.0508,0.1481,0.0,2,1,23.443162,0.0508,4.8514e-05,0.789,0.0,0.1481
WASP-132 b,WASP-132,0.789,0.428,0.428,0.0674,0.0163,1,3,7.1335164,0.428,0.00040874,0.789,0.0163,0.0674
TOI-620 b,TOI-620,0.577,0.0428,,0.04825,0.22,1,1,5.0988179,0.0428,4.0873999999999995e-05,0.577,0.22,0.04825
CoRoT-14 b,CoRoT-14,1.13,7.6,7.6,0.027,0.0,1,1,1.51214,7.6,0.007258,1.13,0.0,0.027
LP 714-47 b,LP 714-47,0.59,0.09690715,0.0969071516219363,0.0417,0.04,1,1,4.052037,0.09690715,9.254632825e-05,0.59,0.04,0.0417
TOI-1075 b,TOI-1075,0.604,0.0313062,0.0313062010218615,0.01159,0.0,1,1,0.6047328,0.0313062,2.9897421e-05,0.604,0.0,0.01159
Kepler-114 d,Kepler-114,0.56,0.012,0.012,0.08358,0.0,1,3,11.776,0.012,1.146e-05,0.56,0.0,0.08358
GJ 3998 c,GJ 3998,0.52,0.02145812,,0.09,0.0,1,3,13.727,0.02145812,2.04925046e-05,0.52,0.0,0.09
KOI-94 c,KOI-94,1.277,0.049,0.049,0.1013,0.43,2,4,10.423648,0.049,4.6795e-05,1.277,0.43,0.1013
Kepler-18 c,Kepler-18,0.972,0.054,0.054,0.0752,0.0,1,3,7.64159,0.054,5.157e-05,0.972,0.0,0.0752
Kepler-25 b,Kepler-25,1.165,0.0275,0.0275,0.0695,0.0029,2,3,6.238297,0.0275,2.62625e-05,1.165,0.0029,0.0695
TOI-1467 b,TOI-1467,0.489,0.02831717,0.0283171667534425,0.050748,0.0,1,1,5.97114713,0.02831717,2.704289735e-05,0.489,0.0,0.050748
TOI-1249 b,TOI-1249,1.0062,0.03744159,0.037441587151774,0.109,0.0,1,1,13.079151,0.03744159,3.5756718449999994e-05,1.0062,0.0,0.109
TOI-251 b,TOI-251,1.036,1.0,1.0,0.05741,0.0,1,1,4.93777,1.0,0.000955,1.036,0.0,0.05741
GJ 180 c,GJ 180,0.43,0.02013655,,0.129,0.09,1,3,24.329,0.02013655,1.923040525e-05,0.43,0.09,0.129
HD 136118 b,HD 136118,1.18,13.102,13.102,2.327,0.344,1,1,1187.59765,13.102,0.01251241,1.18,0.344,2.327
HD 153557 b,HD 153557,0.79,0.064,,0.068,0.065,1,3,7.29903,0.064,6.112e-05,0.79,0.065,0.068
HD 155918 b,HD 155918,1.03,0.024,,0.03,0.194,1,2,1.87567,0.024,2.292e-05,1.03,0.194,0.03
HD 156098 b,HD 156098,1.29,0.05,,0.167,0.109,1,2,21.85849,0.05,4.775e-05,1.29,0.109,0.167
GJ 3138 d,GJ 3138,0.681,0.03303653,,0.698,0.32,1,3,257.8,0.03303653,3.1549886150000003e-05,0.681,0.32,0.698
HD 134060 c,HD 134060,1.095,0.0922,,2.3928,0.11,1,2,1291.5646,0.0922,8.8051e-05,1.095,0.11,2.3928
GJ 433 b,GJ 433,0.48,0.01901331,,0.062,0.04,1,3,7.3705,0.01901331,1.815771105e-05,0.48,0.04,0.062
GJ 433 d,GJ 433,0.48,0.01643331,,0.178,0.07,1,3,36.059,0.01643331,1.569381105e-05,0.48,0.07,0.178
CoRoT-30 b,CoRoT-30,0.98,2.9,2.9,0.0844,0.007,1,1,9.06005,2.9,0.0027695,0.98,0.007,0.0844
HD 5278 b,HD 5278,1.126,0.02454154,0.0245415445196502,0.1202,0.08,1,2,14.339156,0.02454154,2.3437170700000002e-05,1.126,0.08,0.1202
HD 10180 d,HD 10180,1.06,0.03697,,0.12859,0.131,1,6,16.357,0.03697,3.530635e-05,1.06,0.131,0.12859
HD 102272 b,HD 102272,1.45,4.94,,0.51,0.05,1,1,127.58,4.94,0.0047177,1.45,0.05,0.51
HD 42618 b,HD 42618,1.015,0.04530724,,0.554,0.19,1,1,149.61,0.04530724,4.32684142e-05,1.015,0.19,0.554
HD 110014 b,HD 110014,2.17,11.09,,2.14,0.462,1,1,835.477,11.09,0.01059095,2.17,0.462,2.14
HD 131496 b,HD 131496,1.34,1.8,,2.01,0.181,1,1,896.0,1.8,0.001719,1.34,0.181,2.01
GJ 3929 b,GJ 3929,0.313,0.00550612,0.00550611575761382,0.0252,0.0,1,2,2.616235,0.00550612,5.2583446e-06,0.313,0.0,0.0252
HAT-P-46 b,HAT-P-46,1.284,0.493,0.493,0.0577,0.123,1,1,4.463129,0.493,0.000470815,1.284,0.123,0.0577
TOI-1347 c,TOI-1347,0.913,0.02013665,0.0201366519135591,0.0546,0.0,1,2,4.841962,0.02013665,1.923050075e-05,0.913,0.0,0.0546
HD 37605 b,HD 37605,0.94,2.69,,0.277,0.6745,1,2,55.01292,2.69,0.00256895,0.94,0.6745,0.277
HD 40307 d,HD 40307,0.77,0.0299,,0.1321,0.07,1,5,20.432,0.0299,2.85545e-05,0.77,0.07,0.1321
HD 75289 b,HD 75289,1.29,0.49,,0.05,0.03,2,1,3.50927,0.49,0.00046795,1.29,0.03,0.05
HD 46375 b,HD 46375,0.92,0.226,,0.0398,0.063,2,1,3.023573,0.226,0.00021583,0.92,0.063,0.0398
HD 7924 c,HD 7924,0.832,0.0247302,,0.1134,0.098,1,3,15.299,0.0247302,2.3617341e-05,0.832,0.098,0.1134
HD 23127 b,HD 23127,1.208,1.527,,2.37,0.406,1,1,1211.17,1.527,0.001458285,1.208,0.406,2.37
HD 233832 b,HD 233832,0.71,1.78,,2.827,0.359,2,1,2058.0,1.78,0.0016999,0.71,0.359,2.827
HD 238090 b,HD 238090,0.578,0.02167826,,0.0932,0.3,1,1,13.671,0.02167826,2.0702738300000003e-05,0.578,0.3,0.0932
HD 30856 b,HD 30856,1.17,1.547,,1.85,0.061,2,1,847.0,1.547,0.001477385,1.17,0.061,1.85
HD 212301 b,HD 212301,1.55,0.51,,0.03,0.0,2,1,2.24571,0.51,0.00048705,1.55,0.0,0.03
HD 196050 b,HD 196050,1.27,4.7,4.7,2.65,0.2,3,1,1392.0,4.7,0.0044885,1.27,0.2,2.65
HD 215497 c,HD 215497,0.92,0.35,0.35,1.31,0.47,1,2,566.0,0.35,0.00033424999999999997,0.92,0.47,1.31
HD 28254 b,HD 28254,1.1,3.8,3.8,2.45,0.95,2,1,1333.0,3.8,0.003629,1.1,0.95,2.45
DMPP-3 A b,DMPP-3 A,0.87,0.00811755,,0.0662,0.14,2,1,6.6732,0.00811755,7.75226025e-06,0.87,0.14,0.0662
HD 13808 b,HD 13808,0.771,0.03523896,,0.10519,0.071,1,2,14.1815,0.03523896,3.36532068e-05,0.771,0.071,0.10519
HD 4208 b,HD 4208,0.883,0.81,,1.662,0.042,1,1,832.97,0.81,0.00077355,0.883,0.042,1.662
GJ 876 d,GJ 876,0.32,0.021,0.021,0.02080665,0.207,1,4,1.93778,0.021,2.0055e-05,0.32,0.207,0.02080665
nu Oct A b,nu Oct A,1.61,2.4,2.4,1.25,0.11,2,1,417.0,2.4,0.0022919999999999998,1.61,0.11,1.25
HD 69830 b,HD 69830,0.86,0.0321,,0.0785,0.1,1,3,8.667,0.0321,3.06555e-05,0.86,0.1,0.0785
HD 180053 b,HD 180053,1.75,2.194,,0.843,0.081,1,1,213.72,2.194,0.0020952699999999998,1.75,0.081,0.843
WTS-2 b,WTS-2,0.82,1.12,1.12,0.01855,0.0,1,1,1.0187068,1.12,0.0010696000000000002,0.82,0.0,0.01855
HAT-P-18 b,HAT-P-18,0.77,0.197,0.197,0.0559,0.084,1,1,5.508023,0.197,0.000188135,0.77,0.084,0.0559
TOI-4145 A b,TOI-4145 A,0.905,0.43,0.43,0.04823,0.0,2,1,4.0664428,0.43,0.00041065,0.905,0.0,0.04823
CoRoT-1 b,CoRoT-1,0.95,1.03,1.03,0.02752,0.0,1,1,1.5089557,1.03,0.00098365,0.95,0.0,0.02752
GJ 667 C g,GJ 667 C,0.33,0.014,,0.549,0.08,3,5,256.2,0.014,1.337e-05,0.33,0.08,0.549
HATS-68 b,HATS-68,1.351,1.29,1.29,0.05071,0.036,1,1,3.5862202,1.29,0.00123195,1.351,0.036,0.05071
HD 134606 f,HD 134606,1.046,0.01771396,,0.1784,0.081,1,5,26.915,0.01771396,1.69168318e-05,1.046,0.081,0.1784
HATS-17 b,HATS-17,1.131,1.338,1.338,0.1308,0.029,1,1,16.254611,1.338,0.00127779,1.131,0.029,0.1308
HD 181342 b,HD 181342,1.69,2.54,,1.592,0.022,1,1,564.1,2.54,0.0024257000000000003,1.69,0.022,1.592
HD 181433 b,HD 181433,0.63,0.02,,0.08,0.4,1,3,9.3743,0.02,1.91e-05,0.63,0.4,0.08
HD 187123 c,HD 187123,1.04,1.99,,4.89,0.252,1,2,3810.0,1.99,0.00190045,1.04,0.252,4.89
HD 73526 b,HD 73526,1.14,3.08,,0.65,0.19,1,2,188.3,3.08,0.0029414000000000003,1.14,0.19,0.65
TOI-406 c,TOI-406,0.408,0.00654441,0.00654441187190672,0.0322,0.032,1,2,3.307441,0.00654441,6.24991155e-06,0.408,0.032,0.0322
